id,name,member
AM001,Dividiamo!,"시이나 니키, 코지카 쥬이스, 아마기 히이로, 시노 하지메"
AM002,Bake Beck,"텐마 미츠루, 토모에 히요리, 오오가미 코가, 츠즈라 치토세"
AM003,옥스퍼드,"카게히라 미카, HiMERU, 마도카 노조미, 타카미네 미도리"
AM004,G-4-HEAVEN,"유우키 마코토, 아야세 마요이, 히메미야 토리, 칸자키 소마"
AM005,EARTH FRIEND’S,"오토가리 아도니스, 쿠온 마슈, 라이카, 스오우 츠카사"
AM006,악시어스,"나루카미 아라시, 이츠키 슈, 유메, 히비키 와타루"
AM007,MOCK-UP,"아마기 린네, 사쿠라 레이, 텐쇼인 에이치, 사카사키 나츠메"
AM008,워밍 탭,"미케지마 마다라, 키류 쿠로, 센고쿠 시노부, 란 나기사"
AM009,Spopo,"나구모 테토라, 사자나미 쥰, 하루카와 소라, 하카제 카오루"
AM010,페트라르카,"에스, 아케호시 스바루, 타키 이부키, 오우카와 코하쿠"
AM011,슈퍼 채리엇,"카제하야 타츠미, 세나 이즈미, 후시미 유즈루, 모리사와 치아키"
AM012,쓰리 티어,"사쿠마 리츠, 아오이 히나타, 니토 나즈나"
AM013,통쾌☆트래블러스,"히다카 호쿠토, 시라토리 아이라, 츠키나가 레오"
AM014,식도락,"이사라 마오, 신카이 카나타, 아오이 유우타, 마시로 토모야"
AM015,아이 피팅,"하즈미 케이토, 사에구사 이바라, 칸나, 아오바 츠무기"
