id,name,member
CR001,ES강좌 이바라반,"HiMERU, 사에구사 이바라, 사카사키 나츠메, 나구모 테토라, 하루카와 소라"
CR002,ES강좌 케이토반,"하즈미 케이토, 후시미 유즈루, 카게히라 미카, 아마기 히이로, 시라토리 아이라"
CR003,가드니아,"카제하야 타츠미, 사카사키 나츠메, 시노 하지메,  타카미네 미도리, 아오이히나타"
CR004,극단 드라마티카,"츠키나가 레오, 하즈미 케이토, 란 나기사, 이츠키 슈, 히비키 와타루, 히다카 호쿠토, 사카사키 나츠메, 나루카미 아라시, 마시로 토모야"
CR005,놀이부,"아마기 린네, 센고쿠 시노부, 사자나미 쥰, 하루카와 소라, 아오이 유우타"
CR006,니키즈 키친,"시이나 니키, 세나 이즈미, 칸자키 소마, 후시미 유즈루, 사에구사 이바라"
CR007,무도가 심,"미케지마 마다라, 모리사와 치아키, 키류 쿠로, 나구모 테토라, 아마기 히이로"
CR008,밴드 BB,"사쿠마 레이, 오오가미 코가, 이사라 마오, 히나타, 유우타"
CR009,생물클럽(애니멀즈),"니토 나즈나, 히비키 와타루, 아케호시 스바루, 오오가미 코가, 마시로 토모야"
CR010,생물클럽(오션즈),"신카이 카나타, 세나 이즈미, 하카제 카오루, 칸자키 소마, 센고쿠 시노부"
CR011,숙박 레저 모임,"츠키나가 레오, 시이나 니키, 키류 쿠로, 아야세 마요이, 텐마 미츠루"
CR012,스위츠 모임,"아야세 마요이, HiMERU, 스오우 츠카사, 오우카와 코하쿠"
CR013,스포츠 서바이버,"모리사와 치아키, 텐쇼인 에이치, 아케호시 스바루, 오토가리 아도니스, 텐마 미츠루"
CR014,신비부,"사쿠마 레이, 니토 나즈나, 아오바 츠무기, 신카이 카나타, 유우키 마코토"
CR015,아카이브즈(만화),"하즈미 케이토, 사자마니 쥰, 이사라 마오, 타카미네 미도리, 히메미야 토리"
CR016,아카이브즈(비블리온),"아오바 츠무기, 란 나기사, 하카제 카오루, 스오우 츠카사, 시노 하지메"
CR017,크래프트 몬스터,"아마기 린네, 사쿠마 리츠, 이츠키 슈, 유우키 마코토, 히다카 호쿠토"
CR018,티파티(Kaori),"미케지마 마다라, 칸자키 소마, 오토가리 아도니스, 스오우 츠카사, 오우카와 코하쿠"
CR019,티파티(플레이버),"토모에 히요리, 사쿠마 리츠, 카제하야 타츠미, 텐쇼인 에이치, 시노 하지메"
CR020,프리티 5,"토모에 히요리, 카게히라 미카, 나루카미 아라시, 히메미야 토리, 시라토리 아이라"
